[2024-11-10 15:51:08,395: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1kQlUBk_BVEJLUNKdEUcNaFIayBitxVH4/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 15:52:41,168: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1kQlUBk_BVEJLUNKdEUcNaFIayBitxVH4/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 15:52:48,965: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x===========x]
[2024-11-10 15:52:48,965: INFO: main: *********************]
[2024-11-10 15:52:48,965: INFO: main: >>>>>> stage  Prepare base model started <<<<<<<]
[2024-11-10 15:52:48,967: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 15:52:48,969: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 15:52:48,969: INFO: common: created directory at: artifacts]
[2024-11-10 15:52:48,970: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-10 15:52:49,389: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-10 15:52:49,652: INFO: main: >>>>>> stage  Prepare base model completed <<<<<<<

x===========x]
[2024-11-10 16:41:32,353: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 16:41:32,355: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 16:41:32,356: INFO: common: created directory at: artifacts]
[2024-11-10 16:44:43,899: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 16:44:43,903: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 16:44:43,904: INFO: common: created directory at: artifacts]
[2024-11-10 16:48:56,931: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 16:48:56,933: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 16:48:56,934: INFO: common: created directory at: artifacts]
[2024-11-10 16:50:39,650: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 16:50:39,653: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 16:50:39,655: INFO: common: created directory at: artifacts]
[2024-11-10 16:50:39,659: INFO: common: created directory at: artifacts\training]
[2024-11-10 17:13:02,055: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:13:02,058: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:13:02,059: INFO: common: created directory at: artifacts]
[2024-11-10 17:13:02,061: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-10 17:13:02,512: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-10 17:20:06,372: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-11-10 17:20:06,374: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:20:06,375: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:20:06,376: INFO: common: created directory at: artifacts]
[2024-11-10 17:20:06,376: INFO: common: created directory at: artifacts/data_ingestion]
